agrFF002	agrFF002	100.00	544	0	0	1	544	1	544	0.0	 944
agrFF002	agrFF148	93.42	243	14	2	199	439	671	913	6e-102	 360
agrFF002	agrFF148	100.00	11	0	0	462	472	785	795	6.7	21.1
agrFF002	agrFF176	91.37	255	20	2	187	439	123	377	2e-100	 354
agrFF002	agrFF176	100.00	11	0	0	462	472	250	260	6.7	21.1
agrFF002	agrFF040	91.37	255	20	2	187	439	121	375	2e-100	 354
agrFF002	agrFF040	100.00	11	0	0	462	472	248	258	6.7	21.1
agrFF002	agrFF192	91.41	256	18	3	187	439	121	375	9e-100	 352
agrFF002	agrFF192	100.00	11	0	0	462	472	248	258	6.7	21.1
agrFF002	agrFF023	91.41	256	18	3	187	439	126	380	9e-100	 352
agrFF002	agrFF023	100.00	11	0	0	462	472	253	263	6.7	21.1
agrFF002	agrFF003	91.41	256	18	3	187	439	123	377	9e-100	 352
agrFF002	agrFF003	100.00	11	0	0	462	472	250	260	6.7	21.1
agrFF002	agrFF191	90.98	255	21	2	187	439	128	382	1e-098	 349
agrFF002	agrFF191	100.00	11	0	0	462	472	255	265	6.7	21.1
agrFF002	agrFF166	90.98	255	21	2	187	439	128	382	1e-098	 349
agrFF002	agrFF166	100.00	11	0	0	462	472	255	265	6.7	21.1
agrFF002	agrFF174	90.55	254	23	1	187	439	124	377	4e-098	 347
agrFF002	agrFF174	100.00	11	0	0	462	472	250	260	6.7	21.1
agrFF002	agrFF090	90.55	254	23	1	187	439	126	379	4e-098	 347
agrFF002	agrFF090	100.00	11	0	0	462	472	252	262	6.7	21.1
agrFF002	agrFF088	90.70	258	20	3	187	441	125	381	4e-098	 347
agrFF002	agrFF088	100.00	11	0	0	462	472	252	262	6.7	21.1
agrFF002	agrFF042	90.66	257	19	3	187	439	123	378	4e-098	 347
agrFF002	agrFF042	100.00	11	0	0	462	472	250	260	6.7	21.1
agrFF002	agrFF185	90.66	257	19	4	187	439	123	378	2e-096	 342
agrFF002	agrFF185	100.00	11	0	0	462	472	250	260	6.7	21.1
agrFF002	agrFF089	90.16	254	24	1	187	439	125	378	2e-096	 342
agrFF002	agrFF089	100.00	11	0	0	462	472	251	261	6.7	21.1
agrFF002	agrFF146	89.88	257	21	4	187	439	177	432	8e-094	 333
agrFF002	agrFF146	100.00	11	0	0	462	472	304	314	6.7	21.1
agrFF002	agrFF122	91.91	235	17	2	206	439	183	416	3e-093	 331
agrFF002	agrFF122	100.00	11	0	0	462	472	290	300	6.7	21.1
